כןפ הילד הפנימי נחשבת טכניקה א שזה ו יש יש חצי זמן כן יש
0:1414 שניותאורגנים הרמה יש לנו כאילו הפרדה בין טכניקות
0:2323 שניותלכלים כן וש גם לא
0:3636 שניותא צי העו זמן
0:4040 שניות[מוזיקה]
1:231 דקה, 23 שניות‏k
10:4810 דקות, 48 שניותבאוניברסיטת תל אביב חיברו ממש לאנשים לראש ב fmri וראו מה קורה כשקורה את
10:5710 דקות, 57 שניותהטכניקה הזאת סוש זה בעצם טכניקה ש המטרה שלה זה ליצור לנו התניה ויזואלית
11:0511 דקות, 5 שניותברוב המקרים אפשר גם לעשות סווי שהוא אודיטורי אבל המטרה שלו זה ליצור זה לשבש
11:1211 דקות, 12 שניותהתניות שהיו לנו בפן הויזואלי וליצור לנו התניות חדשות אוקיי למשל זוכרים שדיברנו
11:2111 דקות, 21 שניותעל vak אוקיי יש לנו ויזואלי יש לנו אודיטורי ויש לנו
11:2711 דקות, 27 שניותקינסטטי יש אתם איתי כן אוקיי ויזואלי אודיטורי קינסתטי הרבה פעמים מה שקורה
11:3511 דקות, 35 שניותבמיצגים הפנימיים שלנו אנחנו מדמיינים משהו אוקי כ כמה קראו כאן את הספר הרגלים
11:4311 דקות, 43 שניותאטומים רק לוודא קרתי א מכיר ב אקי אוקיי שיש לנו טריגר מה מה אחרי
11:5111 דקות, 51 שניותטריגר מה מה בהרגלים אטומים הוא אומר שם הקרייב החשק פעולה
12:0012 דקותוגמול הרבה פעמים אם ניקח למשל לעולמות הירידה במשקל עולמות של ביטחון עולמות ש של פיננסים יש הרבה פעמים טריגרים
12:0912 דקות, 9 שניותפנימיים שיש לנו בתוך הראש שאחר כך יוצרים לנו את החשק ואז גורמים לנו ללכת לפעולה
12:1612 דקות, 16 שניותאם עכשיו אני אגיד לכל אחד מכם לדמיין גלידת מגנום מושחתת שאתם מוסיפים עליה
12:2212 דקות, 22 שניותקצפת וכל מה שקורה ב בפנים מה שייקרה זה שיתחיל להיות חשק זאת אומרת בלוטות התחילו
12:2912 דקות, 29 שניותקצת לפעול זוכרים שעשינו את הדמיון המודרך של אתם נכנסים הביתה אתם רואים לימון אתם חותכים אותו לחצי ואז אתם מלקקים את
12:3812 דקות, 38 שניותהלימון ואז אתם מרגישים בלשון אוקי שרגיש אז אז מה שקרה זה בעצם בדמיון נוצר איזשהו
12:4512 דקות, 45 שניותמשהו שהוא יחסית אמיתי אז מה שקורה בטכניקה בוויש אנחנו רוצים ללכת על טריגרים שהם הרבה פעמים יהיו ויזואליים
12:5412 דקות, 54 שניותואנחנו נרצה לשנות אותם בטריגר אחרים ותתפלאו כמה אתם כניה הזאתי
13:0213 דקות, שתי שניותפשוטה אוקיי אני אתן לכם דוגמה לאייך הטכניקה הזאת עבדה במשהו לשבירת הרגל זה טכניקה מולה
13:1213 דקות, 12 שניותלשבירת הרגלים סיפרתי אותה לדעתי גם בפרקט שנר אח שלי הקטן היה יושב על כיסאות אוקיי היה לו קטע כזה שהוא היה יושב על
13:2013 דקות, 20 שניותכיסאות כל פעם מבלי לשים לב היה מתיישב וישר איך שהוא מתיישב מרים את הרגל כל פעם
13:2813 דקות, 28 שניותהיה מתיישב מר מ את הרגל היה מתיישב מרים את הרגל ואבא שלי היה צורק עליו כבר באיזשהו שלב שב כמו בן אדם כאילו אנחנו
13:3513 דקות, 35 שניותיושבים בארוחה משפחתית אפילו ברכבים כשהוא נכנס כל פעם הוא היה איך שהוא היה מתחיל הוא היה ישר מרים את הרגל אז אמרתי יאללה
13:4313 דקות, 43 שניותבוא נעשה לו סוויש ונראה איך זה עובד אז השאלה שאני שאלתי אותו וזה שאלה
13:4913 דקות, 49 שניותחשובה לוויש אוקיי זה שאלה חשובה לוויש זה איך אתה
13:5613 דקות, 56 שניותיודע שאלת אסטרטגיה סוויש עובד ברמה של אסטרטגיות בדיוק שהגיע
14:0514 דקות, 5 שניותהזמן במקרה הזה להרים את הרגלו כאילו זה מדוד כמו שעשינו עכשיו על להרים את הרגל
14:1314 דקות, 13 שניותזה יכול להיות איך אתה יודע שהגיע הזמן לקחת את האוכל איך אתה יודע שהגיע הזמן לבזבז את הכסף איך אתה יודע שהגיע
14:2214 דקות, 22 שניותהזמן לשלוח הודעה איך אתה יודע שהגיע הזמן לקחת את הסיגריה איך אתה יודע שהגיע הזמן כל דבר שאני ארצה לפתור אניני אשאל אותו
14:3114 דקות, 31 שניותאיך אתה יודע אני רוצה לדעת בדיוק בדיוק בדיוק מה הטריגר הרי זה זה שאלה שמגלה לי
14:3714 דקות, 37 שניותאת הטריגר של הבן אדם ם אם זה לא טריגר אבל זה פעולה שקוראת באופן יומיומי אז זה עדיין יש טריגר אני א אני אגיד לך כאילו
14:4614 דקות, 46 שניותמה מה הכוונה שלי נגיד סתם דוגמה א שאנשים נשארים בבית של ההורים הרבה אז כאילו זה משהו שזה החיים שלהם אבל זה פעולה כאילו
14:5514 דקות, 55 שניותאתה מבין מה אני מתכוון אבל זה לא פעולה זה לא פע הם נשארים בבית של סבבה כ אני יותר צה להתרכז בפעולות שדופות אותי אוקיי
15:0415 דקות, 4 שניותלהוציא את הסיגריה לקחת לשלוח יד לעוגה לבוא ולא יודע ללחוץ על הביי באלי
15:1315 דקות, 13 שניותאקספרס זאת אומרת אני רוצה ללכת ולתקוף כאן את הטריגרים שגורמים לי לעשות פעולה כי הרי א
15:2115 דקות, 21 שניותמראש אני מונע את הטריגר אז כל הפעולה תישכח אז אמרתי לו איך אתה יודע שהגיע הזמן להרים את הרגל עכשיו בהתחלה הוא לא הבין מה אני רוצה ממנו הוא אומר לי אני מה
15:3015 דקות, 30 שניותזה איך אני יודע אני פשוט מרים את הרגל ברגע שאני מתיישב אז הני אומר לא יש סדר פעולות שקורה באופן לא מודע שאתה לא שם לב
15:3815 דקות, 38 שניותאליו בוא נעלה אותו רגע למודע אמרתי לו אוקיי בוא רגע בוא בוא נעשה את זה כאילו אתה בא לבוא ולשבת ואז אנחנו לאט לאט הוא
15:4615 דקות, 46 שניותעושה את כל הפעולות ואז הוא אומר אה בכל פעם שאני בא לשבת אז אני רואה בראש אני מסתובב ואז אני רואה בראש את התמונה של הרגליים שלי ואז אני רואה שהגיע הזמן
15:5415 דקות, 54 שניותלהרים את הרגל אוקיי ואז מה מה הדבר הראשון שאני רוצה בטכניקה
16:0116 דקות, 1 שניההזאת אני רוצה תמונה של הטריגר
16:0816 דקות, 8 שניותבראש התמונה זה לא בהכרח ויזואלי זה בהכרח ויזואלי אפשר גם לעשות סוויש שהוא שמיעתי
16:1716 דקות, 17 שניותשיבוש אסטרטגיה הוא ממש כמו סוויש שמיעתי הוא מאוד הם על אותו שיבוש אסטרטגייה וסו
16:2416 דקות, 24 שניותשניהם יושבים על לשבש אסטרטגיות אוק למנו אני רוצה את התמונה של הטריגר בראש אוקיי
16:3216 דקות, 32 שניותאתה רוצה להמשיך אותי מכאן או שאתה רוצה שאני אני אסי יאללה תנו ל יל עד שהוא
16:4116 דקות, 41 שניותמגיע עד שהוא מגיע כן כן ע שהוא מגיע
16:5016 דקות, 50 שניותאז סוויש בתכלס מה שהוא אמר זה מאוד מאוד נכון עובד ממש על הקטע של האסטרטגיה ברגע שאני יודע שהגיע הזמן לעשות משהו אני יודע
16:5816 דקות, 58 שניותש אני יודע שהגיע הזמן לאכול שוקולד לשן סיגריה אז אני צריך לראות מה הדבר שמדליק
17:0517 דקות, 5 שניותאת ה את הצורך שלי את ה את הפעולה אז
17:1017 דקות, 10 שניותאנחנו מגיעים בעיקר לתמונה של מה שקורה של
17:1717 דקות, 17 שניותהטריגר אנחנו תופסים את התמונה הזאתי ואנחנו שמים ליד תמונה קטנה של חזון נכון
17:2617 דקות, 26 שניותאוקיי צ כשאנחנו מגיעים לפעולה הזאתי אנחנו מגיעים
17:3217 דקות, 32 שניותלמה בתכלס זה מונע ממני לעשות אם אני מגיע למצב שבו בגלל שאני מעשן סיגריות אז אני
17:4017 דקות, 40 שניותלא בן אדם בריא אז אני הולך לבנות לעצמי תמונה של אני כבן אדם בריא איפה אני אהייה מה אני אהיה איזה בן אדם אני אהיה לדוגמה
17:4917 דקות, 49 שניותאני רואה את עצמי כזה עושה ספורט ואני כאילו חטוב ואני בכושר זה הולך להיות התמונה של החזון
17:5717 דקות, 57 שניותשלי מה ש שקורה בתוך סווש זה שאנחנו שמים תמונה גדולה של הטריגר תמונה קטנה של
18:0418 דקות, 4 שניותהחזון כל פעם שאנחנו מפעילים את הסוו התמונה שהחזון גודלת מחליפה את התמונה של הטריגר ומרסק אותה
18:1318 דקות, 13 שניותואז היא משתלטת על התמונה הגדולה עוד משהו שאני פספסתי בגדול זה היה
18:2118 דקות, 21 שניותמעולה מדהים א הדגמה כמה פעמים תעשה את זה א אוקיי א איך אתה יודע שהדבר הזה עבד
18:3018 דקות, 30 שניותבסוף יש וידוי מסוים של אם אתה מצליח להפריד בין התמונה הזאת לתמונה הזאת זה משהו ש ברגע שאנחנו עושים את ה בצורה
18:3918 דקות, 39 שניותחזרתית את ה את הסוויץ את ההחלפה אז יש איזה ערבוב מסוים בין התמונות ואז ככה אתה
18:4518 דקות, 45 שניותיודע שהטריד עבל איך עשים את זה ב אני הולך להראות את זה יש אני רגע אסגור ואז
18:5218 דקות, 52 שניותנעשה את ההדגמה יס אני אסגור רגע את ההסבר אני יכול להגיד לך ש מהתרגול שאני עשיתי זה לא עבד לי במ אוקי תנו לו יד ניקח כתוש
19:0119 דקות, 1 שניהרגע אוקיי אני רגע חוזר שנייה על כל השלבים ואז ליה לי עשה הדגמה מי שרוצה כבר
19:0719 דקות, 7 שניותלהיות הקורבן שיתנדב אולי דווקא מתן אני מה אני עשה
19:1419 דקות, 14 שניותטוב הנ עשה את זה על הכל על כולנו כמו שהיה נעשה גם אחר כך על על כיתתי
19:2219 דקות, 22 שניותבסדר הדבר הראשון שאנחנו באמת רוצים למצוא זה תמונה של הטריגר אוקיי זה התמונה של הבעיה התמונה שיש לי בראש שאני יודע
19:3119 דקות, 31 שניותשעכשיו הגיע הזמן להתחיל אם זה ל ירידה במשקל אז זה התמונה של הגלידה או מה שהיא מדמיינת בראש אם זה התמונה של הסיגריה אם
19:3819 דקות, 38 שניותזה התמונה ה של הקניות כל כל דבר אם זה התמונה של הרגל זאת אומרת אני מסתכל ואז
19:4519 דקות, 45 שניותאני רואה שהגיע הזמן להתחיל ואז מה שקורה יש לי את הדבר הזה בשלב השני אני באמת רוצה להגיע למצב של תמונת חזון
19:5419 דקות, 54 שניותזה הדבר הראשון שאנחנו השני שאנחנו נעשה יש לנו את התמונה של הטריגר ועכשיו השלב השני זה למצוא את
20:0220 דקות, שתי שניותהתמונה של החזון ואז אנחנו יכולים לשאול איזה מין בן
20:0920 דקות, 9 שניותאדם אתה תהיה ברמת הזהות בלי ההרגל הזה אוקיי
20:1520 דקות, 15 שניותאיזה אדם תהיה בלי
20:2220 דקות, 22 שניותההרגל אוקיי ואז הוא יוצר איזשהי תמונה של המצב הרצוי של אם ניקח את הירידה במשקל אז
20:2920 דקות, 29 שניותאני ארזה ואני עם הילדים שלי ואני משחק איתם בפארק ואני רואה את עצמי כסופר אמא כסופר אבא אם זה על סיגריות אני רואה את
20:3920 דקות, 39 שניותעצמי כאדם בריא מתאמן אוכל טוב כאילו כמו הח שלך עשה את זה הוא לא לא לא הבנת כאילו
20:4620 דקות, 46 שניותבמקרה שלך מה שזה הפריע זה הפריע לאבא שלך לא גם לאח שלי זה הפריע אה זה הפריע גם לאח סבבה ותי זה יפריע ר אם בן אדם לא
20:5320 דקות, 53 שניותרוצה לעשות שינוי או זה לא לא אני יודע פשוט במקרה שלו הוא אמר שזה הפריע לאבא שלו לא הפריע לא זה הפריע לאח שלי גם כי
21:0021 דקותזה הפריע לאבא שלי אבל א בסוף הוא רצה הוא רצה להפסיק עם זה לא ס ואז מצאנו את התמונה של החזון אוקיי
21:0921 דקות, 9 שניותברגע שיש לנו שתי תמונות let the show begin אוקיי יהיה לנו
21:1521 דקות, 15 שניותאני אבקש מהמנחה לדמיין בראש תמונה של תמונת המצב המצוי בסדר תמונת מצב הטריגר
21:2421 דקות, 24 שניותשמה שהוא מסתכל זה בדיוק המצוי זה הטריגר כאלו במקרה של נגיד הוא רואה את הרגליים בדיוק תמונה כזאת בראש ואז אני אומר
21:3321 דקות, 33 שניותלו שים בצד שמאל בקטן ככה את התמונה של המצב הרצוי אוקיי זה כל מה שאנחנו צריכים
21:4321 דקות, 43 שניותלטכניקה עד לפה האם זה ברור כל מה שקורה אחר כך גם לי עוד מעט ידגים עם מי שהתנדב
21:5121 דקות, 51 שניותזה שאני אומר לו אני אני גם אוהב לעשות את זה עם עצימת עיניים לקחת כמה נשימות ואז אני אומר בעוד רגע אני ספור מאחד עד שלוש
21:5921 דקות, 59 שניותכשיגיע לספרה שלוש התמונה הקטנה תשבור את התמונה הגדולה אוקיי ממש
22:0722 דקות, 7 שניותהיא תגדל תשבור אותה ותיקח את מקומה וברגע שזה יקרה אתה תגיד סוויש אבל אני רוצה
22:1622 דקות, 16 שניותשתגיד את זה כשאתה מרגיש את זה אוקיי לא סוויש כן אני עושה את זה ביחד איתו הרבה פעמים 3 2 1 ואז אני איתו ביחד סוויש למה
22:2522 דקות, 25 שניותאני רוצה ש כל הגוף שלו כל מה שקשור בתנועות הכל יהיה קשור לדבר הזה ככל שיש יותר רגש ככל שיש יותר פשן כל שיש יותר
22:3322 דקות, 33 שניותתוקה לא צקה אב עדיף בקל חזק אני אני מעדיף כן מבחינתי שייראה כמו מטורלל אבל אבל הדבר הזה מומ הרבה יותר חזק אוקיי ואז
22:4122 דקות, 41 שניותאני אומר לו 3 2 1 סוויש ואז מה שקורה נוצרת לנו תמונה רק של המצב הרצוי נכון כס
22:4922 דקות, 49 שניותזה על מתוק כן זה עובד נהדר על מתוקים ישפ מתנד הנה אז לילי אעשה לך עוד מעט הדגמה
22:5722 דקות, 57 שניותפה אוקי ואז נשאר לנו רק תמונת המצב הרצוי ואז אני אומר לו להתרכז רגע שתי שניות ואז
23:0523 דקות, 5 שניותאני עושה בקסי מסך ללבן גםמ ואז עוד פעם להחזיר לתמונה הזאת אוקיי
23:1323 דקות, 13 שניותתמונת מצוים רצוי 1 2 3 סוויש מחזירים לכאן עושים את זה ככה את כל זה אנחנו עושים באזור ה לפחות בין שש לאני גם בכף
23:2323 דקות, 23 שניות10 פעמים אוקיי וכל פעם אתה מגביל קצף גם כל פם מגביר קצב עד שאני כבר בסוף כשהגענו ל10
23:3023 דקות, 30 שניותפעמים אני אומר לו בכל פעם שאני עושה ככה אז הסוו קורה באופן לא מודע ואז מה שקורה אני מתחיל לנקוש לנקוש לנקוש לנקוש לנקוש
23:3923 דקות, 39 שניותלנקוש והוא מבחינתו לא מבין מה קורה אבל אני אני אומר לו אני סומך על תת המודע תת המודע יכול לעשות הרבה יותר דברים עמודה
23:4723 דקות, 47 שניותאז אני כבר נוקש מלא מלא פעמים ואומר לו בכלל נקישה תת המודע שלך מבצע את הסוו הזה אוקיי רוצה גם להוסיף שכאילו זה מאוד מאוד
23:5523 דקות, 55 שניותטוב על הרגילים אבל זה גם שימושי לדברים פנימיים צה לי כאילו לעשות את זה לאנשים על כאילו על זה שהם מדברים לעצמם לא טוב או כאילו על מה מה קורה להם בפנים כשהם
24:0524 דקות, 5 שניותכשהם הולכים לעשות איזה פעולה כלשהי כאילו זה ממש עובד על הרבה פעולות כאילו זה יכול לעבוד על כל פעולה וכל התנהגות שאתם רוצים
24:1224 דקות, 12 שניותלשנות יס זה ומשפט אחרון ואני נותן לליאל את הבמה ואז ברגע שאני עושה את זה כמה
24:2024 דקות, 20 שניותוכמה פעמים אני שוטה ל איזשהי סוגסטיה שאני אומר עכשיו תשים לב שגם אם אני אבקש
24:2724 דקות, 27 שניותממך לדמיין את התמונה הזאת אתה לא תוכל כי אוטומטית תעלה לך התמונה הזאת הנה תנסה תראה שגם אם אני אומר לך תדמיין רק את זה
24:3624 דקות, 36 שניותבלי התמונה הזאת תראה שלא תוכל אוקיי והבן אדם מקבל את הדבר הזה ואז הוא באמת רואה
24:4224 דקות, 42 שניותשהוא לא יכול טכניקה הזאת מדהימה זהו זה בגדול יש לנו נראה לי מתנדבת יש לנו את ליאל חברה תנו להם
24:5124 דקות, 51 שניותיד רגע בסיכום אתה אומר פשוט תנסה לגמן את התמונה הקודמת ותראה שאתה לאשתי לו את זה
24:5824 דקות, 58 שניותכן כן אני אומר תשים לב שעכשיו גם אם אני אבקש ממך לדמיין את התמונה של המצב של הטריגר מה ש מה שבמקרה הזה זה היה אצל
25:0625 דקות, 6 שניותאותו בן אדם תראה שאתה לא תוכל כי גם אם תנסה לדמיין אותה בלי התמונה של המצב הרצוי פשוט התמונה של המצב ה הרצוי
25:1325 דקות, 13 שניותאוטומטית תבוא הנה תנסה תראה שאתה לא יכול תראה זה מדהים לא משנה כמה אני אומר לך לדמיין את התמונה הזאת עדיין התמונה
25:2025 דקות, 20 שניותהשנייה קופצת מה המטרה של לוקס מה זה נותן מה המטרה א עוזר מאוד מאוד לשבור הרגלים ג
25:2925 דקות, 29 שניותלא לצוק אה כ כי בכללי הסיסטם שלנו כל
25:3525 דקות, 35 שניותהמערכת של ה של המוח ככל שיש ב אה בסדר ככל שיש יותר רגש
25:4325 דקות, 43 שניותויותר תנועה ואנחנו יותר מרגישים את זה זה מות לכן צועקים ומרגישים ועם כל הגוף
25:5125 דקות, 51 שניותאזי שאני עשיתי איך קוראים לזה של הסמים איך שלס ש שנים דים תשמע אם זה עובד
26:0126 דקות, 1 שניהעכשיו נו קדי עשיתי הודה זה עבד לך עשיתי לנמרוד
26:0926 דקות, 9 שניותעל ג'נק פוד והוא הפסיק הוא ירד איזה ארב קילו פסיכי
26:1726 דקות, 17 שניותפסיכי יאללה עוזר לאנשים לרדת ב יאללה עכשיו הדגמה הדגמה לכל דבר ועניין
26:2526 דקות, 25 שניותחברים י אז מה הג שאת רוצה לשמור טוב אני ממש ממש אוהבת מתוק ושוקולדים ועוגות
26:3326 דקות, 33 שניותוקינוחים ברמה פסיכית כאילו סבבה אין אני חובבת את זה ברמות קשות אני לא רוצה להוריד אני פשוט אני לא
26:4226 דקות, 42 שניותרוצה כאילו להוריד בזה אני רוצה להפחית את היית רוצה ש שתגיעי לזה פחות אפר כן אם
26:4926 דקות, 49 שניותאפשר בכלל לא כאילו למרות שזה מושלם מבחינתי אבל אם אפשר בכלל לא כי זה באמת לא בריא לי ואני יכול להיות מלא מתוק אז
26:5626 דקות, 56 שניותאני אשמח אבל איך שזה מה איזה איזה משהו מתוק ספציפי את היית רוצה להפיק ממנו טוב
27:0427 דקות, 4 שניותאני רוצה שתפס משהו אחד יש מלא עוגות עוגות
